ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7714,TBO,10,2017-09-06 08:45:00,2017-09-06 08:03:00,Leitsystem,2017-09-06T10:02:36+02:00,32392696302,Böblingen,9.004128,48.687758,"48.687758, 9.004128",42.0
S,7714,TGOL,20,2017-09-06 08:47:00,2017-09-06 08:05:00,Leitsystem,2017-09-06T10:02:36+02:00,32392696302,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",42.0
