ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7955,TW,10,2017-09-11 18:48:00,2017-09-11 18:04:00,Leitsystem,2017-09-11T20:03:47+02:00,33395549468,Weil der Stadt,8.872806,48.755483,"48.755483, 8.872806",44.0
S,7955,TMAL,20,2017-09-11 18:50:00,2017-09-11 18:06:00,Leitsystem,2017-09-11T20:05:02+02:00,33395549468,Malmsheim,8.904505,48.771755,"48.771755, 8.904505",44.0
S,7955,TMAL,40,2017-09-11 18:50:00,2017-09-11 18:07:00,Leitsystem,2017-09-11T20:07:10+02:00,33395549468,Malmsheim,8.904505,48.771755,"48.771755, 8.904505",43.0
S,7955,TRX,20,2017-09-11 18:53:00,2017-09-11 18:09:00,Leitsystem,2017-09-11T20:07:10+02:00,33395549468,Renningen,8.93235,48.775121,"48.775121, 8.93235",44.0
S,7955,TRA,30,2017-09-11 18:49:00,2017-09-11 18:05:00,Leitsystem,2017-09-11T20:05:02+02:00,33395549468,,,,,44.0
