ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7334,TETD,40,2017-09-11 13:20:00,2017-09-11 13:56:00,Leitsystem,2017-09-11T15:57:29+02:00,30798860385,Echterdingen,9.169164,48.692152,"48.692152, 9.169164",36.0
S,7334,TLF,40,2017-09-11 13:23:00,2017-09-11 13:58:00,Leitsystem,2017-09-11T16:00:06+02:00,30798860385,Leinfelden,9.142866,48.696506,"48.696506, 9.142866",35.0
S,7334,TSRO,40,2017-09-11 13:28:00,2017-09-11 14:03:00,Leitsystem,2017-09-11T16:04:18+02:00,30798860385,Stuttgart-Rohr,9.108328,48.717902,"48.717902, 9.108328",35.0
S,7334,TSV,20,2017-09-11 13:30:00,2017-09-11 14:05:00,Leitsystem,2017-09-11T16:04:18+02:00,30798860385,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",35.0
S,7334,TSV,40,2017-09-11 13:30:00,2017-09-11 14:06:00,Leitsystem,2017-09-11T16:06:46+02:00,30798860385,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",36.0
S,7334,TSOS,20,2017-09-11 13:32:00,2017-09-11 14:08:00,Leitsystem,2017-09-11T16:06:46+02:00,30798860385,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",36.0
S,7334,TSOS,40,2017-09-11 13:32:00,2017-09-11 14:08:00,Leitsystem,2017-09-11T16:08:59+02:00,30798860385,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",36.0
S,7334,TSS,20,2017-09-11 13:40:00,2017-09-11 14:16:00,Leitsystem,2017-09-11T16:16:15+02:00,30798860385,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",36.0
S,7334,TSS,40,2017-09-11 13:40:00,2017-09-11 14:17:00,Leitsystem,2017-09-11T16:17:37+02:00,30798860385,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",37.0
S,7334,TSFS,20,2017-09-11 13:41:00,2017-09-11 14:18:00,Leitsystem,2017-09-11T16:18:04+02:00,30798860385,Stuttgart Feuersee,9.166273,48.772768,"48.772768, 9.166273",37.0
S,7334,TS  W,30,2017-09-11 13:46:00,2017-09-11 14:30:00,Leitsystem,2017-09-11T16:31:01+02:00,30798860385,,,,,44.0
S,7334,TSNA,30,2017-09-11 13:51:00,2017-09-11 14:35:00,Leitsystem,2017-09-11T16:35:27+02:00,30798860385,,,,,44.0
S,7334,TSNU,40,2017-09-11 13:52:00,2017-09-11 14:36:00,Leitsystem,2017-09-11T16:36:48+02:00,30798860385,Stuttgart Nürnberger Str.,9.234858,48.806423,"48.806423, 9.234858",44.0
