ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7152,TSV,40,2017-09-16 17:40:00,2017-09-16 18:14:00,Leitsystem,2017-09-16T20:14:38+02:00,30028434041,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",34.0
S,7152,TSOS,40,2017-09-16 17:42:00,2017-09-16 18:16:00,Leitsystem,2017-09-16T20:16:58+02:00,30028434041,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",34.0
S,7152,TSS,20,2017-09-16 17:50:00,2017-09-16 18:23:00,Leitsystem,2017-09-16T20:22:34+02:00,30028434041,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",33.0
S,7152,TSS,40,2017-09-16 17:50:00,2017-09-16 18:23:00,Leitsystem,2017-09-16T20:23:50+02:00,30028434041,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",33.0
S,7152,TSFS,40,2017-09-16 17:52:00,2017-09-16 18:25:00,Leitsystem,2017-09-16T20:25:26+02:00,30028434041,Stuttgart Feuersee,9.166273,48.772768,"48.772768, 9.166273",33.0
S,7152,TS  T,40,2017-09-16 17:55:00,2017-09-16 18:29:00,Leitsystem,2017-09-16T20:29:37+02:00,30028434041,Stuttgart Hbf (tief),9.179808,48.782999,"48.782999, 9.179808",34.0
S,7152,TSC,20,2017-09-16 17:59:00,2017-09-16 18:33:00,Leitsystem,2017-09-16T20:32:12+02:00,30028434041,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",34.0
S,7152,TSOM,20,2017-09-16 18:07:00,2017-09-16 18:44:00,Leitsystem,2017-09-16T20:43:57+02:00,30028434041,Stuttgart-Obertürkheim,9.267889,48.762013,"48.762013, 9.267889",37.0
S,7152,TEME,20,2017-09-16 18:09:00,2017-09-16 18:47:00,Leitsystem,2017-09-16T20:46:39+02:00,30028434041,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",38.0
S,7152,TACH,20,2017-09-16 18:19:00,2017-09-16 18:58:00,Leitsystem,2017-09-16T20:57:11+02:00,30028434041,Altbach,9.382384,48.720393,"48.720393, 9.382384",39.0
S,7152,TEHA,30,2017-09-16 17:25:00,2017-09-16 17:58:00,Leitsystem,2017-09-16T19:58:58+02:00,30028434041,,,,,33.0
S,7152,TBO,20,2017-09-16 17:30:00,2017-09-16 18:03:00,Leitsystem,2017-09-16T20:02:16+02:00,30028434041,Böblingen,9.004128,48.687758,"48.687758, 9.004128",33.0
S,7152,TWER,20,2017-09-16 18:27:00,2017-09-16 19:04:00,Leitsystem,2017-09-16T21:03:54+02:00,30028434041,Wernau(Neckar),9.413898,48.694247,"48.694247, 9.413898",37.0
S,7152,TWD,40,2017-09-16 18:31:00,2017-09-16 19:10:00,Leitsystem,2017-09-16T21:10:55+02:00,30028434041,Wendlingen(Neckar),9.373011,48.672961,"48.672961, 9.373011",39.0
S,7152,TKT,50,2017-09-16 18:38:00,2017-09-16 19:17:00,Leitsystem,2017-09-16T21:19:12+02:00,30028434041,Kirchheim(Teck),9.443927,48.644258,"48.644258, 9.443927",39.0
S,7152,TNUF,40,2017-09-16 17:19:00,2017-09-16 17:52:00,Leitsystem,2017-09-16T19:53:05+02:00,30028434041,Nufringen,8.889796,48.620278,"48.620278, 8.889796",33.0
S,7152,THUB,40,2017-09-16 17:28:00,2017-09-16 18:01:00,Leitsystem,2017-09-16T20:02:16+02:00,30028434041,Hulb,8.982644,48.679267,"48.679267, 8.982644",33.0
S,7152,TGOL,40,2017-09-16 17:32:00,2017-09-16 18:06:00,Leitsystem,2017-09-16T20:07:05+02:00,30028434041,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",34.0
S,7152,TSV,20,2017-09-16 17:40:00,2017-09-16 18:14:00,Leitsystem,2017-09-16T20:12:47+02:00,30028434041,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",34.0
S,7152,TSUN,20,2017-09-16 17:44:00,2017-09-16 18:17:00,Leitsystem,2017-09-16T20:16:58+02:00,30028434041,Stuttgart Universität,9.105398,48.745837,"48.745837, 9.105398",33.0
S,7152,TS  T,20,2017-09-16 17:55:00,2017-09-16 18:28:00,Leitsystem,2017-09-16T20:28:00+02:00,30028434041,Stuttgart Hbf (tief),9.179808,48.782999,"48.782999, 9.179808",33.0
S,7152,TS  W,30,2017-09-16 17:56:00,2017-09-16 18:30:00,Leitsystem,2017-09-16T20:30:45+02:00,30028434041,,,,,34.0
S,7152,TSC,40,2017-09-16 17:59:00,2017-09-16 18:33:00,Leitsystem,2017-09-16T20:33:59+02:00,30028434041,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",34.0
S,7152,TSNS,20,2017-09-16 18:02:00,2017-09-16 18:36:00,Leitsystem,2017-09-16T20:35:59+02:00,30028434041,Stuttgart Neckarpark,9.241595,48.792173,"48.792173, 9.241595",34.0
S,7152,TSOM,40,2017-09-16 18:07:00,2017-09-16 18:45:00,Leitsystem,2017-09-16T20:45:50+02:00,30028434041,Stuttgart-Obertürkheim,9.267889,48.762013,"48.762013, 9.267889",38.0
