ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:32:36+02:00,30056468410,,,,,34.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:36:48+02:00,30056468410,,,,,34.0
S,7159,TWER,20,2017-09-16 19:02:00,2017-09-16 19:38:00,Leitsystem,2017-09-16T21:37:42+02:00,30056468410,Wernau(Neckar),9.413898,48.694247,"48.694247, 9.413898",36.0
S,7159,TWER,40,2017-09-16 19:02:00,2017-09-16 19:38:00,Leitsystem,2017-09-16T21:39:07+02:00,30056468410,Wernau(Neckar),9.413898,48.694247,"48.694247, 9.413898",36.0
S,7159,TP,40,2017-09-16 19:08:00,2017-09-16 19:42:00,Leitsystem,2017-09-16T21:42:29+02:00,30056468410,Plochingen,9.41081,48.71308,"48.71308, 9.41081",34.0
S,7159,TACH,20,2017-09-16 19:10:00,2017-09-16 19:44:00,Leitsystem,2017-09-16T21:43:20+02:00,30056468410,Altbach,9.382384,48.720393,"48.720393, 9.382384",34.0
S,7159,TACH,40,2017-09-16 19:10:00,2017-09-16 19:44:00,Leitsystem,2017-09-16T21:45:05+02:00,30056468410,Altbach,9.382384,48.720393,"48.720393, 9.382384",34.0
S,7159,TOES,40,2017-09-16 19:15:00,2017-09-16 19:49:00,Leitsystem,2017-09-16T21:49:51+02:00,30056468410,Oberesslingen,9.327267,48.729876,"48.729876, 9.327267",34.0
S,7159,TE,20,2017-09-16 19:17:00,2017-09-16 19:51:00,Leitsystem,2017-09-16T21:50:47+02:00,30056468410,Esslingen(Neckar),9.30008,48.73881,"48.73881, 9.30008",34.0
S,7159,TE,40,2017-09-16 19:18:00,2017-09-16 19:52:00,Leitsystem,2017-09-16T21:52:31+02:00,30056468410,Esslingen(Neckar),9.30008,48.73881,"48.73881, 9.30008",34.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:03:51+02:00,30056468410,,,,,34.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:08:55+02:00,30056468410,,,,,34.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:00:59+02:00,30056468410,,,,,34.0
S,7159,TWD,40,2017-09-16 18:59:00,2017-09-16 19:34:00,Leitsystem,2017-09-16T21:35:26+02:00,30056468410,Wendlingen(Neckar),9.373011,48.672961,"48.672961, 9.373011",35.0
S,7159,TP,20,2017-09-16 19:06:00,2017-09-16 19:42:00,Leitsystem,2017-09-16T21:40:35+02:00,30056468410,Plochingen,9.41081,48.71308,"48.71308, 9.41081",36.0
S,7159,TOES,20,2017-09-16 19:15:00,2017-09-16 19:49:00,Leitsystem,2017-09-16T21:48:13+02:00,30056468410,Oberesslingen,9.327267,48.729876,"48.729876, 9.327267",34.0
S,7159,TEME,20,2017-09-16 19:20:00,2017-09-16 19:54:00,Leitsystem,2017-09-16T21:53:54+02:00,30056468410,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",34.0
S,7159,TEME,40,2017-09-16 19:20:00,2017-09-16 19:54:00,Leitsystem,2017-09-16T21:55:36+02:00,30056468410,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",34.0
S,7159,TKT,10,2017-09-16 18:51:00,2017-09-16 19:24:00,Leitsystem,2017-09-16T21:24:33+02:00,30056468410,Kirchheim(Teck),9.443927,48.644258,"48.644258, 9.443927",33.0
S,7159,TWD,20,2017-09-16 18:59:00,2017-09-16 19:31:00,Leitsystem,2017-09-16T21:31:21+02:00,30056468410,Wendlingen(Neckar),9.373011,48.672961,"48.672961, 9.373011",32.0
S,7159,TEZL,20,2017-09-16 19:12:00,2017-09-16 19:46:00,Leitsystem,2017-09-16T21:45:47+02:00,30056468410,Esslingen-Zell,9.359389,48.724328,"48.724328, 9.359389",34.0
S,7159,TSV,20,2017-09-16 19:49:00,2017-09-16 20:27:00,Leitsystem,2017-09-16T22:27:09+02:00,30056468410,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",38.0
S,7159,TSRO,20,2017-09-16 19:51:00,2017-09-16 20:30:00,Leitsystem,2017-09-16T22:29:51+02:00,30056468410,Stuttgart-Rohr,9.108328,48.717902,"48.717902, 9.108328",39.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T22:08:06+02:00,30056468410,,,,,34.0
S,7159,TSU,20,2017-09-16 19:25:00,2017-09-16 19:59:00,Leitsystem,2017-09-16T21:58:28+02:00,30056468410,,,,,34.0
