ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7731,TSOM,40,2017-09-11 14:07:00,2017-09-11 14:40:00,Leitsystem,2017-09-11T16:40:33+02:00,32455610885,Stuttgart-Obertürkheim,9.267889,48.762013,"48.762013, 9.267889",33.0
S,7731,TSU,40,2017-09-11 14:10:00,2017-09-11 14:43:00,Leitsystem,2017-09-11T16:43:23+02:00,32455610885,,,,,33.0
S,7731,TEME,20,2017-09-11 14:05:00,2017-09-11 14:37:00,Leitsystem,2017-09-11T16:37:01+02:00,32455610885,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",32.0
S,7731,TEME,40,2017-09-11 14:05:00,2017-09-11 14:38:00,Leitsystem,2017-09-11T16:38:48+02:00,32455610885,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",33.0
S,7731,TSNS,20,2017-09-11 14:12:00,2017-09-11 14:44:00,Leitsystem,2017-09-11T16:44:09+02:00,32455610885,Stuttgart Neckarpark,9.241595,48.792173,"48.792173, 9.241595",32.0
S,7731,TSC,20,2017-09-11 14:15:00,2017-09-11 14:47:00,Leitsystem,2017-09-11T16:46:58+02:00,32455610885,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",32.0
S,7731,TE,10,2017-09-11 14:03:00,2017-09-11 14:35:00,Leitsystem,2017-09-11T16:35:08+02:00,32455610885,Esslingen(Neckar),9.30008,48.73881,"48.73881, 9.30008",32.0
S,7731,TSOM,20,2017-09-11 14:07:00,2017-09-11 14:39:00,Leitsystem,2017-09-11T16:38:48+02:00,32455610885,Stuttgart-Obertürkheim,9.267889,48.762013,"48.762013, 9.267889",32.0
S,7731,TSU,20,2017-09-11 14:10:00,2017-09-11 14:42:00,Leitsystem,2017-09-11T16:41:38+02:00,32455610885,,,,,32.0
S,7731,TSNS,40,2017-09-11 14:12:00,2017-09-11 14:45:00,Leitsystem,2017-09-11T16:45:28+02:00,32455610885,Stuttgart Neckarpark,9.241595,48.792173,"48.792173, 9.241595",33.0
S,7731,TSC,40,2017-09-11 14:16:00,2017-09-11 14:48:00,Leitsystem,2017-09-11T16:48:42+02:00,32455610885,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",32.0
