ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7101,TSOS,20,2017-09-16 05:17:00,2017-09-16 06:59:00,Leitsystem,2017-09-16T08:57:36+02:00,29746089854,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",102.0
S,7101,TSRO,20,2017-09-16 05:21:00,2017-09-16 07:03:00,Leitsystem,2017-09-16T09:02:05+02:00,29746089854,Stuttgart-Rohr,9.108328,48.717902,"48.717902, 9.108328",102.0
S,7101,TBH,30,2017-09-16 05:23:00,2017-09-16 07:04:00,Leitsystem,2017-09-16T09:04:20+02:00,29746089854,,,,,101.0
S,7101,TGOL,20,2017-09-16 05:27:00,2017-09-16 07:08:00,Leitsystem,2017-09-16T09:07:51+02:00,29746089854,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",101.0
S,7101,TBO,20,2017-09-16 05:29:00,2017-09-16 07:10:00,Leitsystem,2017-09-16T09:09:40+02:00,29746089854,Böblingen,9.004128,48.687758,"48.687758, 9.004128",101.0
S,7101,THUB,40,2017-09-16 05:31:00,2017-09-16 07:12:00,Leitsystem,2017-09-16T09:13:30+02:00,29746089854,Hulb,8.982644,48.679267,"48.679267, 8.982644",101.0
S,7101,TEHN,20,2017-09-16 05:34:00,2017-09-16 07:15:00,Leitsystem,2017-09-16T09:13:30+02:00,29746089854,Ehningen(b Böblingen),8.94426,48.662682,"48.662682, 8.94426",101.0
S,7101,TSUN,40,2017-09-16 05:15:00,2017-09-16 06:57:00,Leitsystem,2017-09-16T08:57:36+02:00,29746089854,Stuttgart Universität,9.105398,48.745837,"48.745837, 9.105398",102.0
S,7101,TSOS,40,2017-09-16 05:17:00,2017-09-16 06:59:00,Leitsystem,2017-09-16T09:00:08+02:00,29746089854,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",102.0
S,7101,TSV,20,2017-09-16 05:19:00,2017-09-16 07:00:00,Leitsystem,2017-09-16T09:00:08+02:00,29746089854,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",101.0
S,7101,TSV,40,2017-09-16 05:20:00,2017-09-16 07:01:00,Leitsystem,2017-09-16T09:02:03+02:00,29746089854,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",101.0
S,7101,TSRO,40,2017-09-16 05:22:00,2017-09-16 07:03:00,Leitsystem,2017-09-16T09:03:40+02:00,29746089854,Stuttgart-Rohr,9.108328,48.717902,"48.717902, 9.108328",101.0
S,7101,TNUF,40,2017-09-16 05:39:00,2017-09-16 07:21:00,Leitsystem,2017-09-16T09:21:37+02:00,29746089854,Nufringen,8.889796,48.620278,"48.620278, 8.889796",102.0
S,7101,THE,50,2017-09-16 05:43:00,2017-09-16 07:25:00,Leitsystem,2017-09-16T09:23:48+02:00,29746089854,,,,,102.0
S,7101,TGOL,40,2017-09-16 05:27:00,2017-09-16 07:09:00,Leitsystem,2017-09-16T09:09:38+02:00,29746089854,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",102.0
S,7101,THUB,20,2017-09-16 05:31:00,2017-09-16 07:12:00,Leitsystem,2017-09-16T09:11:09+02:00,29746089854,Hulb,8.982644,48.679267,"48.679267, 8.982644",101.0
S,7101,TEHN,40,2017-09-16 05:34:00,2017-09-16 07:15:00,Leitsystem,2017-09-16T09:16:06+02:00,29746089854,Ehningen(b Böblingen),8.94426,48.662682,"48.662682, 8.94426",101.0
S,7101,TBO,40,2017-09-16 05:29:00,2017-09-16 07:11:00,Leitsystem,2017-09-16T09:11:09+02:00,29746089854,Böblingen,9.004128,48.687758,"48.687758, 9.004128",102.0
S,7101,TGT,20,2017-09-16 05:37:00,2017-09-16 07:18:00,Leitsystem,2017-09-16T09:17:44+02:00,29746089854,Gärtringen,8.909113,48.641122,"48.641122, 8.909113",101.0
S,7101,TGT,40,2017-09-16 05:37:00,2017-09-16 07:19:00,Leitsystem,2017-09-16T09:19:12+02:00,29746089854,Gärtringen,8.909113,48.641122,"48.641122, 8.909113",102.0
S,7101,TNUF,20,2017-09-16 05:39:00,2017-09-16 07:21:00,Leitsystem,2017-09-16T09:19:12+02:00,29746089854,Nufringen,8.889796,48.620278,"48.620278, 8.889796",102.0
