ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7230,TS  T,20,2017-09-11 13:05:00,2017-09-11 13:37:00,Leitsystem,2017-09-11T15:36:51+02:00,30295543803,Stuttgart Hbf (tief),9.179808,48.782999,"48.782999, 9.179808",32.0
S,7230,TWN,20,2017-09-11 13:19:00,2017-09-11 13:55:00,Leitsystem,2017-09-11T15:55:02+02:00,30295543803,Waiblingen,9.299882,48.826124,"48.826124, 9.299882",36.0
S,7230,TROM,40,2017-09-11 13:22:00,2017-09-11 13:58:00,Leitsystem,2017-09-11T15:59:18+02:00,30295543803,Rommelshausen,9.319344,48.81554,"48.81554, 9.319344",36.0
S,7230,TGES,40,2017-09-11 13:32:00,2017-09-11 14:10:00,Leitsystem,2017-09-11T16:10:29+02:00,30295543803,Geradstetten,9.439753,48.805203,"48.805203, 9.439753",38.0
S,7230,TWEL,20,2017-09-11 13:37:00,2017-09-11 14:14:00,Leitsystem,2017-09-11T16:13:59+02:00,30295543803,Weiler(Rems),9.501991,48.800301,"48.800301, 9.501991",37.0
S,7230,TSMI,20,2017-09-11 13:03:00,2017-09-11 13:34:00,Leitsystem,2017-09-11T15:34:12+02:00,30295543803,Stuttgart Stadtmitte,9.172925,48.776229,"48.776229, 9.172925",31.0
S,7230,TS  W,30,2017-09-11 13:06:00,2017-09-11 13:40:00,Leitsystem,2017-09-11T15:40:49+02:00,30295543803,,,,,34.0
S,7230,TSC,20,2017-09-11 13:09:00,2017-09-11 13:44:00,Leitsystem,2017-09-11T15:43:31+02:00,30295543803,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",35.0
S,7230,TSC,40,2017-09-11 13:09:00,2017-09-11 13:45:00,Leitsystem,2017-09-11T15:45:19+02:00,30295543803,Stuttgart-Bad Cannstatt,9.217531,48.801377,"48.801377, 9.217531",36.0
S,7230,TSNU,20,2017-09-11 13:12:00,2017-09-11 13:47:00,Leitsystem,2017-09-11T15:47:01+02:00,30295543803,Stuttgart Nürnberger Str.,9.234858,48.806423,"48.806423, 9.234858",35.0
S,7230,TSNU,40,2017-09-11 13:12:00,2017-09-11 13:48:00,Leitsystem,2017-09-11T15:48:42+02:00,30295543803,Stuttgart Nürnberger Str.,9.234858,48.806423,"48.806423, 9.234858",36.0
S,7230,TSSM,40,2017-09-11 13:14:00,2017-09-11 13:51:00,Leitsystem,2017-09-11T15:51:47+02:00,30295543803,Stuttgart-Sommerrain,9.248327,48.81527,"48.81527, 9.248327",37.0
S,7230,TFE,40,2017-09-11 13:17:00,2017-09-11 13:53:00,Leitsystem,2017-09-11T15:53:40+02:00,30295543803,Fellbach,9.269978,48.820049,"48.820049, 9.269978",36.0
S,7230,TROM,20,2017-09-11 13:21:00,2017-09-11 13:57:00,Leitsystem,2017-09-11T15:57:20+02:00,30295543803,Rommelshausen,9.319344,48.81554,"48.81554, 9.319344",36.0
S,7230,TSTE,20,2017-09-11 13:24:00,2017-09-11 14:00:00,Leitsystem,2017-09-11T16:00:31+02:00,30295543803,Stetten-Beinstein,9.35245,48.811924,"48.811924, 9.35245",36.0
S,7230,TEN,20,2017-09-11 13:26:00,2017-09-11 14:02:00,Leitsystem,2017-09-11T16:02:22+02:00,30295543803,Endersbach,9.370228,48.813153,"48.813153, 9.370228",36.0
S,7230,TEN,40,2017-09-11 13:26:00,2017-09-11 14:03:00,Leitsystem,2017-09-11T16:04:11+02:00,30295543803,Endersbach,9.370228,48.813153,"48.813153, 9.370228",37.0
S,7230,TBTB,20,2017-09-11 13:27:00,2017-09-11 14:05:00,Leitsystem,2017-09-11T16:04:11+02:00,30295543803,Beutelsbach,9.386029,48.810293,"48.810293, 9.386029",38.0
