ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:38:22+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:47:59+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:05:35+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:46:23+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:32:55+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:42:30+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:48:47+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:01:48+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:04:49+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:33:06+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:41:16+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
