ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7102,THE,10,2017-09-13 04:46:00,2017-09-13 05:46:00,Leitsystem,2017-09-13T07:46:59+02:00,29768386882,,,,,60.0
S,7102,TSUN,40,2017-09-16 05:14:00,2017-09-16 06:50:00,Leitsystem,2017-09-16T08:50:45+02:00,29768386882,Stuttgart Universität,9.105398,48.745837,"48.745837, 9.105398",96.0
S,7102,TSS,20,2017-09-16 05:20:00,2017-09-16 06:57:00,Leitsystem,2017-09-16T08:57:07+02:00,29768386882,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",97.0
S,7102,TSFS,40,2017-09-16 05:22:00,2017-09-16 07:00:00,Leitsystem,2017-09-16T09:00:32+02:00,29768386882,Stuttgart Feuersee,9.166273,48.772768,"48.772768, 9.166273",98.0
S,7102,TEME,20,2017-09-16 05:39:00,2017-09-16 07:16:00,Leitsystem,2017-09-16T09:16:08+02:00,29768386882,Esslingen-Mettingen,9.27583,48.747083,"48.747083, 9.27583",97.0
S,7102,TOES,40,2017-09-16 05:44:00,2017-09-16 07:21:00,Leitsystem,2017-09-16T09:21:31+02:00,29768386882,Oberesslingen,9.327267,48.729876,"48.729876, 9.327267",97.0
S,7102,TEZL,40,2017-09-16 05:47:00,2017-09-16 07:23:00,Leitsystem,2017-09-16T09:24:09+02:00,29768386882,Esslingen-Zell,9.359389,48.724328,"48.724328, 9.359389",96.0
S,7102,TS  R,30,2017-09-16 05:27:00,2017-09-16 07:05:00,Leitsystem,2017-09-16T09:05:29+02:00,29768386882,,,,,98.0
S,7102,TSNS,40,2017-09-16 05:32:00,2017-09-16 07:10:00,Leitsystem,2017-09-16T09:10:49+02:00,29768386882,Stuttgart Neckarpark,9.241595,48.792173,"48.792173, 9.241595",98.0
S,7102,TSU,20,2017-09-16 05:34:00,2017-09-16 07:12:00,Leitsystem,2017-09-16T09:10:49+02:00,29768386882,,,,,98.0
S,7102,TSOM,20,2017-09-16 05:37:00,2017-09-16 07:14:00,Leitsystem,2017-09-16T09:13:59+02:00,29768386882,Stuttgart-Obertürkheim,9.267889,48.762013,"48.762013, 9.267889",97.0
S,7102,TSS,40,2017-09-16 05:20:00,2017-09-16 06:58:00,Leitsystem,2017-09-16T08:58:43+02:00,29768386882,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",98.0
S,7102,TSMI,40,2017-09-16 05:23:00,2017-09-16 07:01:00,Leitsystem,2017-09-16T09:02:01+02:00,29768386882,Stuttgart Stadtmitte,9.172925,48.776229,"48.776229, 9.172925",98.0
S,7102,TS  T,20,2017-09-16 05:25:00,2017-09-16 07:03:00,Leitsystem,2017-09-16T09:02:56+02:00,29768386882,Stuttgart Hbf (tief),9.179808,48.782999,"48.782999, 9.179808",98.0
