ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7085,TSNS,10,2017-09-04 23:02:00,2017-09-04 23:33:00,Leitsystem,2017-09-05T01:33:18+02:00,29672218200,Stuttgart Neckarpark,9.241595,48.792173,"48.792173, 9.241595",31.0
S,7085,TSMI,20,2017-09-04 23:12:00,2017-09-04 23:49:00,Leitsystem,2017-09-05T01:49:44+02:00,29672218200,Stuttgart Stadtmitte,9.172925,48.776229,"48.776229, 9.172925",37.0
S,7085,TSMI,40,2017-09-04 23:12:00,2017-09-04 23:51:00,Leitsystem,2017-09-05T01:51:45+02:00,29672218200,Stuttgart Stadtmitte,9.172925,48.776229,"48.776229, 9.172925",39.0
S,7085,TSS,20,2017-09-04 23:15:00,2017-09-04 23:54:00,Leitsystem,2017-09-05T01:54:43+02:00,29672218200,Stuttgart Schwabstr.,9.156959,48.770255,"48.770255, 9.156959",39.0
S,7085,TSUN,40,2017-09-04 23:20:00,2017-09-05 00:01:00,Leitsystem,2017-09-05T02:01:36+02:00,29672218200,Stuttgart Universität,9.105398,48.745837,"48.745837, 9.105398",41.0
S,7085,TSOS,40,2017-09-04 23:22:00,2017-09-05 00:03:00,Leitsystem,2017-09-05T02:04:47+02:00,29672218200,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",41.0
S,7085,TSV,40,2017-09-04 23:25:00,2017-09-05 00:06:00,Leitsystem,2017-09-05T02:07:28+02:00,29672218200,Stuttgart-Vaihingen,9.113226,48.726279,"48.726279, 9.113226",41.0
S,7085,TBH,30,2017-09-04 23:28:00,2017-09-05 00:10:00,Leitsystem,2017-09-05T02:10:37+02:00,29672218200,,,,,42.0
S,7085,TGOL,20,2017-09-04 23:32:00,2017-09-05 00:15:00,Leitsystem,2017-09-05T02:14:21+02:00,29672218200,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",43.0
S,7085,TGOL,40,2017-09-04 23:32:00,2017-09-05 00:18:00,Leitsystem,2017-09-05T02:18:28+02:00,29672218200,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",46.0
