ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7157,TNUF,20,2017-09-16 19:39:00,2017-09-16 20:10:00,Leitsystem,2017-09-16T22:09:03+02:00,30048079800,Nufringen,8.889796,48.620278,"48.620278, 8.889796",31.0
S,7157,TNUF,40,2017-09-16 19:39:00,2017-09-16 20:11:00,Leitsystem,2017-09-16T22:11:32+02:00,30048079800,Nufringen,8.889796,48.620278,"48.620278, 8.889796",32.0
S,7157,TBO,40,2017-09-16 19:29:00,2017-09-16 20:00:00,Leitsystem,2017-09-16T22:00:25+02:00,30048079800,Böblingen,9.004128,48.687758,"48.687758, 9.004128",31.0
S,7157,THUB,40,2017-09-16 19:31:00,2017-09-16 20:02:00,Leitsystem,2017-09-16T22:02:49+02:00,30048079800,Hulb,8.982644,48.679267,"48.679267, 8.982644",31.0
S,7157,TGT,20,2017-09-16 19:37:00,2017-09-16 20:08:00,Leitsystem,2017-09-16T22:07:15+02:00,30048079800,Gärtringen,8.909113,48.641122,"48.641122, 8.909113",31.0
S,7157,TGT,40,2017-09-16 19:37:00,2017-09-16 20:08:00,Leitsystem,2017-09-16T22:09:03+02:00,30048079800,Gärtringen,8.909113,48.641122,"48.641122, 8.909113",31.0
S,7157,THE,50,2017-09-16 19:43:00,2017-09-16 20:14:00,Leitsystem,2017-09-16T22:13:36+02:00,30048079800,,,,,31.0
S,7157,TEHN,40,2017-09-16 19:34:00,2017-09-16 20:05:00,Leitsystem,2017-09-16T22:05:31+02:00,30048079800,Ehningen(b Böblingen),8.94426,48.662682,"48.662682, 8.94426",31.0
