ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7672,TSWF,40,2017-09-14 23:33:00,2017-09-15 00:06:00,Leitsystem,2017-09-15T02:07:11+02:00,32151108127,Weilimdorf,9.094328,48.82208,"48.82208, 9.094328",33.0
S,7672,TDI,40,2017-09-14 23:36:00,2017-09-15 00:10:00,Leitsystem,2017-09-15T02:10:45+02:00,32151108127,Ditzingen,9.06705,48.823611,"48.823611, 9.06705",34.0
S,7672,THFG,40,2017-09-14 23:39:00,2017-09-15 00:16:00,Leitsystem,2017-09-15T02:18:35+02:00,32151108127,Höfingen,9.025315,48.814986,"48.814986, 9.025315",37.0
S,7672,TLE,50,2017-09-14 23:43:00,2017-09-15 00:20:00,Leitsystem,2017-09-15T02:18:35+02:00,32151108127,Leonberg,9.003853,48.799646,"48.799646, 9.003853",37.0
S,7672,TDI,20,2017-09-14 23:36:00,2017-09-15 00:09:00,Leitsystem,2017-09-15T02:08:34+02:00,32151108127,Ditzingen,9.06705,48.823611,"48.823611, 9.06705",33.0
S,7672,THFG,20,2017-09-14 23:39:00,2017-09-15 00:13:00,Leitsystem,2017-09-15T02:10:45+02:00,32151108127,Höfingen,9.025315,48.814986,"48.814986, 9.025315",34.0
