ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7531,TLU,40,2017-09-15 12:16:00,2017-09-15 10:49:00,Leitsystem,2017-09-15T12:48:23+02:00,31551322525,Ludwigsburg,9.18542,48.891862,"48.891862, 9.18542",87.0
S,7531,TBM,10,2017-09-15 12:07:00,2017-09-15 10:39:00,Leitsystem,2017-09-15T12:38:47+02:00,31551322525,Bietigheim-Bissingen,9.137557,48.947933,"48.947933, 9.137557",88.0
S,7531,TAX,40,2017-09-15 12:13:00,2017-09-15 10:45:00,Leitsystem,2017-09-15T12:44:58+02:00,31551322525,Asperg,9.147797,48.907359,"48.907359, 9.147797",88.0
S,7531,TTM,20,2017-09-15 12:10:00,2017-09-15 10:42:00,Leitsystem,2017-09-15T12:40:13+02:00,31551322525,Tamm(Württ),9.125828,48.921605,"48.921605, 9.125828",88.0
S,7531,TTM,40,2017-09-15 12:10:00,2017-09-15 10:42:00,Leitsystem,2017-09-15T12:41:54+02:00,31551322525,Tamm(Württ),9.125828,48.921605,"48.921605, 9.125828",88.0
S,7531,TAX,20,2017-09-15 12:12:00,2017-09-15 10:44:00,Leitsystem,2017-09-15T12:43:10+02:00,31551322525,Asperg,9.147797,48.907359,"48.907359, 9.147797",88.0
S,7531,TLU,20,2017-09-15 12:16:00,2017-09-15 10:48:00,Leitsystem,2017-09-15T12:46:31+02:00,31551322525,Ludwigsburg,9.18542,48.891862,"48.891862, 9.18542",88.0
S,7531,TKH,20,2017-09-15 12:19:00,2017-09-15 10:51:00,Leitsystem,2017-09-15T12:50:09+02:00,31551322525,Kornwestheim Pbf,9.179964,48.862219,"48.862219, 9.179964",88.0
S,7531,TKH,40,2017-09-15 12:20:00,2017-09-15 10:52:00,Leitsystem,2017-09-15T12:52:22+02:00,31551322525,Kornwestheim Pbf,9.179964,48.862219,"48.862219, 9.179964",88.0
