ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7780,TROM,40,2017-09-15 08:07:00,2017-09-15 08:41:00,Leitsystem,2017-09-15T10:41:58+02:00,32669520447,Rommelshausen,9.319344,48.81554,"48.81554, 9.319344",34.0
S,7780,TSTE,40,2017-09-15 08:09:00,2017-09-15 08:43:00,Leitsystem,2017-09-15T10:44:23+02:00,32669520447,Stetten-Beinstein,9.35245,48.811924,"48.811924, 9.35245",34.0
S,7780,TEN,20,2017-09-15 08:11:00,2017-09-15 08:45:00,Leitsystem,2017-09-15T10:44:23+02:00,32669520447,Endersbach,9.370228,48.813153,"48.813153, 9.370228",34.0
S,7780,TBTB,40,2017-09-15 08:13:00,2017-09-15 08:46:00,Leitsystem,2017-09-15T10:47:19+02:00,32669520447,Beutelsbach,9.386029,48.810293,"48.810293, 9.386029",33.0
S,7780,TGC,20,2017-09-15 08:15:00,2017-09-15 08:48:00,Leitsystem,2017-09-15T10:48:18+02:00,32669520447,Grunbach,9.420029,48.81036,"48.81036, 9.420029",33.0
S,7780,TGES,20,2017-09-15 08:17:00,2017-09-15 08:51:00,Leitsystem,2017-09-15T10:50:38+02:00,32669520447,Geradstetten,9.439753,48.805203,"48.805203, 9.439753",34.0
S,7780,TGES,40,2017-09-15 08:17:00,2017-09-15 08:51:00,Leitsystem,2017-09-15T10:52:01+02:00,32669520447,Geradstetten,9.439753,48.805203,"48.805203, 9.439753",34.0
S,7780,TWEL,40,2017-09-15 08:22:00,2017-09-15 08:56:00,Leitsystem,2017-09-15T10:56:59+02:00,32669520447,Weiler(Rems),9.501991,48.800301,"48.800301, 9.501991",34.0
S,7780,TEN,40,2017-09-15 08:11:00,2017-09-15 08:45:00,Leitsystem,2017-09-15T10:45:58+02:00,32669520447,Endersbach,9.370228,48.813153,"48.813153, 9.370228",34.0
S,7780,TGC,40,2017-09-15 08:15:00,2017-09-15 08:49:00,Leitsystem,2017-09-15T10:50:38+02:00,32669520447,Grunbach,9.420029,48.81036,"48.81036, 9.420029",34.0
S,7780,TWIN,20,2017-09-15 08:20:00,2017-09-15 08:53:00,Leitsystem,2017-09-15T10:53:10+02:00,32669520447,Winterbach(b Schorndorf),9.480994,48.798432,"48.798432, 9.480994",33.0
S,7780,TWN,40,2017-09-15 08:05:00,2017-09-15 08:39:00,Leitsystem,2017-09-15T10:40:01+02:00,32669520447,Waiblingen,9.299882,48.826124,"48.826124, 9.299882",34.0
S,7780,TROM,20,2017-09-15 08:06:00,2017-09-15 08:41:00,Leitsystem,2017-09-15T10:40:36+02:00,32669520447,Rommelshausen,9.319344,48.81554,"48.81554, 9.319344",35.0
S,7780,TSTE,20,2017-09-15 08:09:00,2017-09-15 08:43:00,Leitsystem,2017-09-15T10:43:03+02:00,32669520447,Stetten-Beinstein,9.35245,48.811924,"48.811924, 9.35245",34.0
S,7780,TBTB,20,2017-09-15 08:12:00,2017-09-15 08:46:00,Leitsystem,2017-09-15T10:45:58+02:00,32669520447,Beutelsbach,9.386029,48.810293,"48.810293, 9.386029",34.0
S,7780,TWIN,40,2017-09-15 08:20:00,2017-09-15 08:54:00,Leitsystem,2017-09-15T10:54:30+02:00,32669520447,Winterbach(b Schorndorf),9.480994,48.798432,"48.798432, 9.480994",34.0
S,7780,TWEL,20,2017-09-15 08:22:00,2017-09-15 08:55:00,Leitsystem,2017-09-15T10:55:09+02:00,32669520447,Weiler(Rems),9.501991,48.800301,"48.800301, 9.501991",33.0
S,7780,TSF,50,2017-09-15 08:25:00,2017-09-15 08:58:00,Leitsystem,2017-09-15T10:58:12+02:00,32669520447,Schorndorf,9.52631,48.80715,"48.80715, 9.52631",33.0
